url,Creation_day,Update_day,Expiration_day,Expiration_Creation_day,netname,ttl,len_domain,len_path,len_parameter,len_tld,'%','$','=','@','?','&','#','.','_','-',';','{','}','[',']','|','+','*',uppercase,digit_ratio,consonant_vowel,https,file_extension,url_shortening
http://gshawcross.org,,,,,,Error: The DNS query name does not exist: gshawcross.org.,14,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76923,0,0,0
http://myslqoapz.co.uk,,,,,,Error: The DNS query name does not exist: myslqoapz.co.uk.,15,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69231,0,0,0
http://fr-service-espaceclientv3orangefridcontrat3346529pagenec.holismo.com.br/3Z56E7RTIUJFHRZZET/67867907ONYTBDGFSQ4Z5E6DX/Z5E6R7TUITTBHESRCFGGTE65D/5657689O7NITUR6EG5FSTRDF/Oran/da193fcf2b3c80b417d103e12697eb10/,6176.0,142.0,33.0,6209.0,,Error: The DNS query name does not exist: fr-service-espaceclientv3orangefridcontrat3346529pagenec.holismo.com.br.,71,135,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29577,0.2723,0.63793,0,0,0
http://messages-safety-your.atspace.cc,4710.0,356.0,38.0,4749.0,BG-ZETTA,3600,31,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62963,0,0,0
http://webapss.paypal.de.signin.yabse.net,,,,,,Error: The DNS query name does not exist: webapss.paypal.de.signin.yabse.net.,34,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65517,0,0,0
http://pythogenic-hoses.000webhostapp.com,2812.0,735.0,1204.0,4017.0,AWEX-CLOUD-000WEBHOST-1,60,34,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07317,0.67857,0,0,0
http://mipichincha10.webcindario.com,8363.0,333.0,1497.0,9861.0,MIARROBA-NET,81505,29,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05556,0.6,0,0,0
http://malhotra-gallery.com/gallery/wp-content/themes/remax/,,,,,,Error: The DNS query name does not exist: malhotra-gallery.com.,20,33,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66667,0,0,0
http://management-applymerchant.com,,,,,,Error: The DNS query name does not exist: management-applymerchant.com.,28,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69231,0,0,0
http://lnk.co/oiuiu?m1925420432ie?cesare.camboni@poste.it,4892.0,139.0,220.0,5113.0,CLOUDFLARENET,300,6,6,37,2,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17544,0.8,0,0,0
http://verifvk.xyz,,,,,,Error: The DNS query name does not exist: verifvk.xyz.,11,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0
http://www.naylorantiques.com/OIZQPLQP/,9396.0,490.0,99.0,9496.0,,Error: The DNS query name does not exist: www.naylorantiques.com.,22,10,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20513,0.0,0.65,0,0,0
http://unilife.co.th,,,,,INET-TH,300,13,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54545,0,0,0
http://www.bioesteticadrgutierrez.cl/wp-content/plugins/ipad/ipad/,,,,,,3600,29,30,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62963,0,0,0
